type,priority,status,complexityScore,riskLevel,targetAgentCount,expectedCallsPerAgent,targetConversionRate,qualityScoreTarget,dependenciesCount,reopenCount,delayHours,estimatedHours
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,29,52,20.75,94,4,2,9.25,56
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,87,2,0,0.00,29
OTHER,MEDIUM,DONE,2,2,0,0,0.00,74,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,11,20,11.00,85,1,0,0.00,17
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.50,27
COACHING,MEDIUM,DONE,3,2,6,15,6.75,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,13,36,13.50,88,2,1,2.25,31
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,25,27,16.50,91,3,1,4.25,39
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,84,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,11,19,9.00,87,1,0,0.00,20
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,8,28,9.50,85,1,0,0.00,18
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,6.00,47
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,12,20,11.00,86,1,0,0.00,16
SCRIPTING,LOW,DONE,2,1,0,0,0.00,78,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.50,25
COACHING,MEDIUM,DONE,3,2,6,18,7.00,85,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,74,0,0,0.00,3
CAMPAIGN,CRITICAL,IN_PROGRESS,5,4,24,50,20.00,93,3,1,8.00,44
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,85,2,0,1.00,24
OTHER,MEDIUM,DONE,2,2,0,0,0.00,77,0,0,0.00,6
TRAINING,HIGH,IN_REVIEW,4,3,18,26,12.00,89,1,0,0.00,22
SCRIPTING,MEDIUM,TO_DO,3,2,0,0,0.00,82,0,0,0.00,6
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,95,4,2,9.00,50
COACHING,LOW,DONE,2,1,2,10,4.50,79,0,0,0.00,4
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,78,0,0,0.00,4
CAMPAIGN,HIGH,IN_PROGRESS,4,3,14,40,15.00,90,2,1,3.00,33
SYSTEM_SETUP,MEDIUM,TO_DO,3,3,0,0,0.00,82,1,0,0.00,13
OTHER,LOW,DONE,1,1,0,0,0.00,71,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,24,28,17.50,94,3,1,5.00,38
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,83,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,14
COACHING,HIGH,IN_PROGRESS,4,3,9,18,8.50,87,1,0,0.00,17
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,9,30,10.00,85,1,0,0.00,20
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,91,3,1,6.00,46
OTHER,MEDIUM,DONE,2,2,0,0,0.00,76,0,0,0.00,5
TRAINING,MEDIUM,DONE,3,2,11,22,11.00,88,1,0,0.00,17
SCRIPTING,LOW,TO_DO,2,1,0,0,0.00,79,0,0,0.00,5
QUALITY_ASSURANCE,HIGH,DONE,4,3,0,0,0.00,92,2,0,0.00,27
COACHING,MEDIUM,IN_REVIEW,3,2,7,15,6.00,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,17,44,15.50,89,2,1,2.50,34
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,19,26,12.50,90,2,0,0.00,22
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,80,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,94,3,2,6.00,45
COACHING,LOW,DONE,2,1,5,12,4.25,78,0,0,0.00,6
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,26,58,21.50,95,4,2,11.00,58
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,86,2,0,0.00,27
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,10,19,9.75,84,1,0,0.00,13
SCRIPTING,LOW,DONE,2,1,0,0,0.00,77,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.75,26
COACHING,MEDIUM,DONE,3,2,8,17,6.75,85,0,0,0.00,11
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,15,39,14.25,88,2,1,3.25,33
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,14
OTHER,LOW,DONE,1,1,0,0,0.00,68,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,23,29,16.00,92,3,1,4.25,37
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,85,0,0,0.00,11
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,87,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,10,21,9.25,88,1,0,0.00,19
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,12,33,10.75,85,1,0,0.00,21
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,5.75,44
OTHER,MEDIUM,DONE,2,2,0,0,0.00,74,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,9,18,10.25,86,1,0,0.00,15
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.25,25
COACHING,MEDIUM,DONE,3,2,6,14,6.00,84,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,13,37,13.00,89,2,1,2.75,32
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,16
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,17,23,11.50,88,2,0,0.00,20
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,81,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,93,3,2,7.25,46
COACHING,LOW,DONE,2,1,3,9,3.50,78,0,0,0.00,5
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,29,52,20.75,94,4,2,9.25,56
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,87,2,0,0.00,29
OTHER,MEDIUM,DONE,2,2,0,0,0.00,73,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,11,20,11.00,85,1,0,0.00,17
SCRIPTING,LOW,DONE,2,1,0,0,0.00,78,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.50,27
COACHING,MEDIUM,DONE,3,2,7,16,6.75,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,14,35,14.00,88,2,1,2.25,31
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,24,27,16.50,91,3,1,4.25,39
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,84,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,11,19,9.00,87,1,0,0.00,20
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,8,28,9.50,85,1,0,0.00,18
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,6.25,47
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,10,21,10.75,86,1,0,0.00,16
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.00,24
COACHING,MEDIUM,DONE,3,2,5,13,5.75,84,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,12,34,13.25,89,2,1,3.00,34
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,16
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,18,25,12.25,88,2,0,0.00,21
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,81,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,93,3,2,7.25,46
COACHING,LOW,DONE,2,1,3,9,3.50,78,0,0,0.00,5
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,27,54,20.75,94,4,2,9.25,56
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,87,2,0,0.00,29
OTHER,MEDIUM,DONE,2,2,0,0,0.00,74,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,12,20,11.00,86,1,0,0.00,16
SCRIPTING,LOW,DONE,2,1,0,0,0.00,78,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.50,25
COACHING,MEDIUM,DONE,3,2,6,18,7.00,85,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,74,0,0,0.00,3
CAMPAIGN,CRITICAL,IN_PROGRESS,5,4,24,50,20.00,93,3,1,8.00,44
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,85,2,0,1.00,24
OTHER,MEDIUM,DONE,2,2,0,0,0.00,77,0,0,0.00,6
TRAINING,HIGH,IN_REVIEW,4,3,18,26,12.00,89,1,0,0.00,22
SCRIPTING,MEDIUM,TO_DO,3,2,0,0,0.00,82,0,0,0.00,6
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,95,4,2,9.00,50
COACHING,LOW,DONE,2,1,2,10,4.50,79,0,0,0.00,4
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,78,0,0,0.00,4
CAMPAIGN,HIGH,IN_PROGRESS,4,3,14,40,15.00,90,2,1,3.00,33
SYSTEM_SETUP,MEDIUM,TO_DO,3,3,0,0,0.00,82,1,0,0.00,13
OTHER,LOW,DONE,1,1,0,0,0.00,71,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,24,28,17.50,94,3,1,5.00,38
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,83,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,14
COACHING,HIGH,IN_PROGRESS,4,3,9,18,8.50,87,1,0,0.00,17
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,9,30,10.00,85,1,0,0.00,20
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,91,3,1,6.00,46
OTHER,MEDIUM,DONE,2,2,0,0,0.00,76,0,0,0.00,5
TRAINING,MEDIUM,DONE,3,2,11,22,11.00,88,1,0,0.00,17
SCRIPTING,LOW,TO_DO,2,1,0,0,0.00,79,0,0,0.00,5
QUALITY_ASSURANCE,HIGH,DONE,4,3,0,0,0.00,92,2,0,0.00,27
COACHING,MEDIUM,IN_REVIEW,3,2,7,15,6.00,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,17,44,15.50,89,2,1,2.50,34
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,19,26,12.50,90,2,0,0.00,22
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,80,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,94,3,2,6.00,45
COACHING,LOW,DONE,2,1,5,12,4.25,78,0,0,0.00,6
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,26,58,21.50,95,4,2,11.00,58
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,86,2,0,0.00,27
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,10,19,9.75,84,1,0,0.00,13
SCRIPTING,LOW,DONE,2,1,0,0,0.00,77,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.75,26
COACHING,MEDIUM,DONE,3,2,8,17,6.75,85,0,0,0.00,11
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,15,39,14.25,88,2,1,3.25,33
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,14
OTHER,LOW,DONE,1,1,0,0,0.00,68,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,23,29,16.00,92,3,1,4.25,37
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,85,0,0,0.00,11
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,87,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,10,21,9.25,88,1,0,0.00,19
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,12,33,10.75,85,1,0,0.00,21
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,5.75,44
OTHER,MEDIUM,DONE,2,2,0,0,0.00,74,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,9,18,10.25,86,1,0,0.00,15
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.25,25
COACHING,MEDIUM,DONE,3,2,6,14,6.00,84,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,13,37,13.00,89,2,1,2.75,32
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,16
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,17,23,11.50,88,2,0,0.00,20
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,81,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,93,3,2,7.25,46
COACHING,LOW,DONE,2,1,3,9,3.50,78,0,0,0.00,5
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,29,52,20.75,94,4,2,9.25,56
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,87,2,0,0.00,29
OTHER,MEDIUM,DONE,2,2,0,0,0.00,73,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,11,20,11.00,85,1,0,0.00,17
SCRIPTING,LOW,DONE,2,1,0,0,0.00,78,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.50,27
COACHING,MEDIUM,DONE,3,2,7,16,6.75,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,14,35,14.00,88,2,1,2.25,31
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,24,27,16.50,91,3,1,4.25,39
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,84,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,11,19,9.00,87,1,0,0.00,20
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,8,28,9.50,85,1,0,0.00,18
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,6.25,47
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,10,21,10.75,86,1,0,0.00,16
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.00,24
COACHING,MEDIUM,DONE,3,2,5,13,5.75,84,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,12,34,13.25,89,2,1,3.00,34
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,16
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,18,25,12.25,88,2,0,0.00,21
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,81,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,93,3,2,7.25,46
COACHING,LOW,DONE,2,1,3,9,3.50,78,0,0,0.00,5
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,27,54,20.75,94,4,2,9.25,56
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,87,2,0,0.00,29
OTHER,MEDIUM,DONE,2,2,0,0,0.00,74,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,11,20,11.00,85,1,0,0.00,17
SCRIPTING,LOW,DONE,2,1,0,0,0.00,79,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,2.50,27
COACHING,MEDIUM,DONE,3,2,6,15,6.75,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,13,36,13.50,88,2,1,2.25,31
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,24,27,16.50,91,3,1,4.25,39
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,84,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,11,19,9.00,87,1,0,0.00,20
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,8,28,9.50,85,1,0,0.00,18
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,6.00,47
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,TO_DO,3,2,14,23,11.25,87,1,0,0.00,15
SCRIPTING,LOW,DONE,2,1,0,0,0.00,76,0,0,0.00,3
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,91,2,1,1.75,22
COACHING,MEDIUM,DONE,3,2,7,21,7.50,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,32,65,23.00,96,4,2,11.50,62
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,88,2,0,0.50,25
OTHER,MEDIUM,DONE,2,2,0,0,0.00,79,0,0,0.00,6
TRAINING,HIGH,IN_REVIEW,4,3,17,29,13.00,90,1,0,0.00,23
SCRIPTING,MEDIUM,TO_DO,3,2,0,0,0.00,82,0,0,0.00,6
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,95,4,2,9.75,52
COACHING,LOW,DONE,2,1,1,8,2.50,77,0,0,0.00,2
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,80,0,0,0.00,4
CAMPAIGN,HIGH,IN_PROGRESS,4,3,13,41,15.75,90,2,1,3.25,34
SYSTEM_SETUP,MEDIUM,TO_DO,3,3,0,0,0.00,84,1,0,0.00,12
OTHER,LOW,DONE,1,1,0,0,0.00,68,0,0,0.00,2
